Wind;PV_rt
0,00098361;0
0,00098361;0
0,00098361;0
0,00098361;0
0,0008612;0
0,0001224;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0,009480074
0,00052459;0,019439416
0,00098361;0,037727858
0,00098361;0,065408053
0,00098361;0,072501711
0,006929;0,054779605
0,012131;0,0517707
0,012131;0,052057721
0,012131;0,043192816
0,012131;0,042863416
0,012131;0,050717005
0,012131;0,061662332
0,012131;0,054890368
0,018623;0,060910105
0,036328;0,044225321
0,018623;0,042614921
0,012131;0,040767584
0,012131;0,038239295
0,012131;0,039611795
0,012131;0,037907005
0,010744;0,037577605
0,0023709;0,031607953
0,00098361;0,024413163
0,00098361;0,012928468
0,006929;0,009923416
0,012131;0,009552889
0,012131;0,004108446
